Sub	Run	Trial	OldT	Delay	LuckyDeck	ObjPP	OldObjLuckyDeck	ObjDeckMatch	Outcome	Resp	RT	DeckC	LuckyDeckC	OldObjC	RevT	OldDeckPP	OldDeck	EncRevT	Enc_Pay1	OptObj	PP	StayResp
2	1	1	0	NaN	1	NaN	NaN	NaN	0	2	682.994828006485	1	1	NaN	1	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2	1	2	0	NaN	1	NaN	NaN	NaN	0.4	1	752.208798003267	2	0	NaN	2	NaN	NaN	NaN	NaN	NaN	0	0
2	1	3	0	NaN	1	NaN	NaN	NaN	0.6	1	459.360705004656	1	1	NaN	3	NaN	NaN	NaN	NaN	NaN	0.4	0
2	1	4	0	NaN	1	NaN	NaN	NaN	1	1	817.894357998739	1	1	NaN	4	NaN	NaN	NaN	NaN	NaN	0.6	1
2	1	5	0	NaN	1	NaN	NaN	NaN	1	2	600.517386992578	1	1	NaN	5	NaN	NaN	NaN	NaN	NaN	1	1
2	1	6	0	NaN	1	NaN	NaN	NaN	0.2	1	691.732658990077	1	1	NaN	6	NaN	NaN	NaN	NaN	NaN	1	1
2	1	7	0	NaN	1	NaN	NaN	NaN	0.6	2	659.08868900442	2	0	NaN	7	NaN	NaN	NaN	NaN	NaN	0.2	0
2	1	8	0	NaN	1	NaN	NaN	NaN	0.4	1	770.76883900736	2	0	NaN	8	NaN	NaN	NaN	NaN	NaN	0.6	1
2	1	9	0	NaN	1	NaN	NaN	NaN	0.2	1	559.015516992076	1	1	NaN	9	NaN	NaN	NaN	NaN	NaN	0.4	0
2	1	10	0	NaN	1	NaN	NaN	NaN	0	2	702.288237996981	2	0	NaN	10	NaN	NaN	NaN	NaN	NaN	0.2	0
2	1	11	0	NaN	1	NaN	NaN	NaN	0.4	2	1144.71003899234	1	1	NaN	11	NaN	NaN	NaN	NaN	NaN	0	0
2	1	12	0	NaN	1	NaN	NaN	NaN	0.6	1	625.629000001936	1	1	NaN	12	NaN	NaN	NaN	NaN	NaN	0.4	1
2	1	13	1	10	1	0.6	0	0	0.6	2	954.110524995485	1	1	1	13	0.6	1	3	0.4	1	0.6	1
2	1	14	1	12	1	0.4	1	0	0.4	1	1000.76265000098	2	0	1	14	0	2	2	0	0	0.6	0
2	1	15	1	11	1	1	0	0	1	2	618.862502000411	1	1	1	15	0.6	1	4	0.6	1	0.4	0
