sub,stim,trial,choice,fb
401,1,1,1,1
401,0,2,0,0
401,NaN,3,NaN,NaN
401,1,4,0,1
401,1,5,1,1
401,0,6,1,0
401,0,7,0,0
401,0,8,1,0
401,1,9,1,1
401,NaN,10,NaN,NaN
401,1,11,1,1
401,1,12,1,1
401,0,13,0,0
401,1,14,1,1
401,0,15,0,0
401,0,16,1,0
401,1,17,1,1
401,1,18,0,1
401,1,19,1,1
401,1,20,1,1
401,1,21,1,1
401,0,22,1,0
401,1,23,0,1
401,0,24,1,0
401,1,25,1,1
401,0,26,0,0
401,0,27,1,0
401,0,28,1,0
401,0,29,1,0
401,1,30,0,1
401,0,31,1,0
401,1,32,0,1
401,0,33,0,0
401,0,34,1,0
401,1,35,1,1
401,0,36,1,0
401,0,37,0,0
401,1,38,1,1
401,1,39,0,1
401,0,40,1,0
401,1,41,0,1
401,0,42,0,0
401,1,43,0,1
401,0,44,1,0
401,1,45,1,1
401,0,46,0,0
401,1,47,1,1
401,NaN,48,NaN,NaN
401,0,49,1,0
401,0,50,1,0
401,0,51,0,0
401,0,52,1,0
401,1,53,1,1
401,NaN,54,NaN,NaN
401,1,55,1,1
401,1,56,0,1
401,0,57,0,0
401,1,58,1,1
401,1,59,0,1
401,0,60,1,0
401,1,61,1,1
401,1,62,0,1
401,0,63,0,0
401,1,64,0,1
401,0,65,1,0
401,1,66,0,1
401,1,67,0,1
401,1,68,1,1
401,1,69,1,1
401,1,70,0,1
401,1,71,1,1
401,1,72,1,1
401,1,73,0,1
401,1,74,1,1
401,1,75,0,1
401,1,76,1,1
401,0,77,0,0
401,1,78,1,1
401,1,79,1,1
401,1,80,0,1
401,0,81,1,0
401,1,82,0,1
401,1,83,1,1
401,1,84,0,1
401,0,85,0,0
401,0,86,1,0
401,1,87,0,1
401,0,88,0,0
401,1,89,0,1
401,0,90,1,0
401,0,91,1,0
401,1,92,1,1
401,1,93,0,1
401,1,94,0,1
401,1,95,1,1
401,1,96,0,1
401,1,97,0,1
401,0,98,0,0
401,1,99,1,1
401,0,100,0,0
401,0,101,0,0
401,1,102,0,1
401,1,103,0,1
401,1,104,1,1
401,1,105,0,1
401,1,106,1,1
401,1,107,0,1
401,1,108,1,1
401,0,109,0,0
401,1,110,1,1
401,1,111,0,1
401,1,112,0,1
401,0,113,1,0
401,0,114,0,0
401,1,115,0,1
401,1,116,1,1
401,1,117,1,1
401,0,118,0,0
401,1,119,1,1
401,NaN,120,NaN,NaN
401,4,1,1,1
401,2,2,0,0
401,1,3,NaN,NaN
401,3,4,0,1
401,2,5,1,1
401,1,6,1,0
